tool	error_type	error_rate	error_rate_pct	n	n_clusters	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	mimag_agreement	mimag_agreement_ci_lo	mimag_agreement_ci_hi	comp_r2	cont_r2	HQ_recall	HQ_precision	n_true_HQ	n_pred_HQ	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd
magicc_v5	substitution	0.0	0.0	80	80	4.3977	3.1476	5.8848	-0.5893	-2.2519	1.1136	2.7213	2.0178	3.6421	1.0266	0.1349	2.1211	0.7625	0.6625	0.85	0.6766	0.5656	0.6923	0.9	13	10	79.352	6.91	13.837	6.88
magicc_v5	substitution	0.001	0.1	80	80	4.3669	3.1102	5.894	-0.8119	-2.5679	0.8531	2.7632	2.0234	3.628	1.2463	0.305	2.2713	0.775	0.6875	0.8625	0.6758	0.5433	0.6923	1.0	13	9	79.352	6.91	13.837	6.88
magicc_v5	substitution	0.005	0.5	80	80	4.4721	3.1486	6.0929	-1.5685	-3.3133	0.1373	2.9214	2.1959	3.8768	1.6316	0.7244	2.7088	0.7625	0.6625	0.85	0.6751	0.5218	0.6923	0.9	13	10	79.352	6.91	13.837	6.88
magicc_v5	substitution	0.01	1.0	80	80	4.8777	3.5283	6.4935	-2.782	-4.4615	-0.9597	3.3383	2.4404	4.4699	2.347	1.2879	3.5567	0.7625	0.6625	0.85	0.6421	0.2921	0.6154	1.0	13	8	79.352	6.91	13.837	6.88
magicc_v5	substitution	0.02	2.0	80	80	6.9084	5.4114	8.6789	-5.4327	-7.3127	-3.5906	4.6783	3.6305	5.916	4.055	2.869	5.373	0.675	0.575	0.775	0.475	-0.0351	0.3077	1.0	13	4	79.352	6.91	13.837	6.88
magicc_v5	substitution	0.05	5.0	80	80	12.1845	10.2635	14.1988	-10.866	-13.1871	-8.465	7.878	6.4886	9.3772	7.6937	6.2517	9.2484	0.5875	0.4875	0.7	-0.1631	-1.2407	0.1538	1.0	13	2	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.0	0.0	80	80	4.3977	3.088	5.9405	-0.5893	-2.2716	1.1187	2.7213	2.0306	3.5775	1.0266	0.1353	2.06	0.7625	0.6625	0.85	0.6766	0.5656	0.6923	0.9	13	10	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.001	0.1	80	80	4.3639	3.1282	5.9144	-0.87	-2.5762	0.9086	2.7646	2.0789	3.6113	1.1659	0.2919	2.1781	0.775	0.6875	0.8625	0.6757	0.5663	0.6923	1.0	13	9	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.005	0.5	80	80	4.4548	3.1855	5.9804	-1.5147	-3.1676	0.198	3.1288	2.271	4.2399	1.7565	0.7568	2.9747	0.7625	0.6625	0.8625	0.6718	0.3788	0.6923	1.0	13	9	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.01	1.0	80	80	5.039	3.7347	6.6551	-2.5402	-4.3295	-0.7958	3.2806	2.4462	4.3314	2.2067	1.1696	3.4234	0.7375	0.6375	0.825	0.6321	0.3618	0.6923	0.9	13	10	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.02	2.0	80	80	6.7038	5.2499	8.3543	-5.1126	-6.8996	-3.4298	4.4807	3.5074	5.6759	3.8718	2.7613	5.1878	0.6625	0.5625	0.7625	0.501	0.0354	0.3846	1.0	13	5	79.352	6.91	13.837	6.88
magicc_v5	substitution_titv	0.05	5.0	80	80	11.7631	9.8798	13.7011	-10.3843	-12.6335	-8.0124	8.2601	6.7661	9.9476	7.7878	6.1256	9.6387	0.55	0.45	0.6625	-0.1277	-1.5624	0.0769	1.0	13	1	79.352	6.91	13.837	6.88
